QGC WPL 110
0	0	0	16	0	0	0	0	51.4630214	-0.3177539	0.0	1
1	0	3	16	2	0	0	0	51.46242879999999	-0.31660039999999995	1.2079253792762756e-06	1
2	0	3	16	2	0	0	0	51.4624458	-0.31663129999999995	3.6014243960380554e-06	1
3	0	3	16	2	0	0	0	51.462454199999996	-0.3166467	5.2656978368759155e-06	1
4	0	3	16	2	0	0	0	51.4624627	-0.31666219999999995	7.265247404575348e-06	1
5	0	3	16	2	0	0	0	51.4625396	-0.3167801999999987	3.601983189582825e-05	1
6	0	3	16	2	0	0	0	51.4625662	-0.3168249999999978	5.1895156502723694e-05	1
7	0	3	16	2	0	0	0	51.4625683	-0.31686159999999713	6.052292883396149e-05	1
8	0	3	16	2	0	0	0	51.4625521	-0.31685149999999757	5.342997610569e-05	1
9	0	3	16	2	0	0	0	51.4625439	-0.31684639999999764	5.006697028875351e-05	1
10	0	3	16	2	0	0	0	51.4625358	-0.3168412999999978	4.687625914812088e-05	1
11	0	3	16	2	0	0	0	51.4624891	-0.31676559999999926	2.31768935918808e-05	1
12	0	3	16	2	0	0	0	51.46246570000002	-0.3167277999999996	1.4540739357471466e-05	1
13	0	3	16	2	0	0	0	51.46244239999999	-0.31668999999999986	8.052214980125427e-06	1
14	0	3	16	2	0	0	0	51.46242879999999	-0.31660039999999995	1.2079253792762756e-06	1
15	0	3	16	2	0	0	0	51.46242879999999	-0.31660039999999995	1.2079253792762756e-06	1
