-0.3162915,51.4621112,6.00
-0.3163018,51.4619975,56.00
-0.3163018,51.4619248,56.00
-0.3161199,51.4619184,56.00
-0.3160702,51.4619462,56.00
-0.3159913,51.4618671,56.00
-0.3159089,51.4617955,56.00
-0.3160273,51.4617634,56.00
-0.3158111,51.4618029,56.00
-0.3158677,51.4618468,56.00
-0.3161216,51.4618179,56.00
-0.3159415,51.4617185,56.00
-0.3158369,51.4617003,56.00
-0.3157614,51.4617078,56.00
-0.3160805,51.4618799,56.00
-0.3159587,51.4619323,56.00
-0.3161817,51.4619654,56.00
-0.3161920,51.4618500,56.00
-0.3162246,51.4620669,56.00
