-0.3165728,51.4624242,3.00
-0.3166472,51.4624647,53.00
-0.3166217,51.4624529,53.00
-0.3166048,51.4624405,53.00
-0.3165854,51.4624258,53.00
-0.3165701,51.4624125,53.00
-0.3165588,51.4624029,53.00
-0.3165399,51.4623873,53.00
-0.3165262,51.4623711,53.00
-0.3165118,51.4623590,53.00
-0.3164986,51.4623459,53.00
-0.3164853,51.4623351,53.00
-0.3164817,51.4623218,53.00
-0.3165032,51.4623246,53.00
-0.3165205,51.4623358,53.00
-0.3165282,51.4623501,53.00
-0.3165404,51.4623625,53.00
-0.3165517,51.4623536,53.00
-0.3165456,51.4623440,53.00
-0.3165874,51.4623549,53.00
-0.3165701,51.4623628,53.00
-0.3165752,51.4623787,53.00
-0.3165997,51.4623806,53.00
-0.3166166,51.4623972,53.00
-0.3165977,51.4624029,53.00
-0.3166278,51.4624217,53.00
-0.3166447,51.4624118,53.00
-0.3166672,51.4624125,53.00
-0.3166717,51.4624325,53.00
-0.3166666,51.4624395,53.00
-0.3166932,51.4624427,53.00
