-0.3177575,51.4630325,2.00
-0.3177575,51.4630325,52.00
-0.3178652,51.4630653,52.00
-0.3179384,51.4630841,52.00
-0.3179919,51.4630805,52.00
-0.3180116,51.4630501,52.00
-0.3180128,51.4630262,52.00
-0.3179779,51.4630334,52.00
-0.3179733,51.4630566,52.00
-0.3179384,51.4630674,52.00
-0.3178978,51.4630573,52.00
-0.3178989,51.4630377,52.00
-0.3179407,51.4630211,52.00
-0.3179524,51.4630030,52.00
-0.3179407,51.4629827,52.00
-0.3179059,51.4629972,52.00
-0.3179024,51.4630175,52.00
-0.3178687,51.4630283,52.00
-0.3178280,51.4630153,52.00
-0.3178106,51.4629929,52.00
-0.3178013,51.4629726,52.00
-0.3178269,51.4629509,52.00
-0.3178664,51.4629748,52.00
-0.3178919,51.4629458,52.00
-0.3178803,51.4629292,52.00
-0.3178373,51.4629103,52.00
-0.3178060,51.4629060,52.00
-0.3177815,51.4629248,52.00
-0.3177676,51.4629552,52.00
-0.3177513,51.4629863,52.00
-0.3177746,51.4630102,52.00
-0.3177048,51.4629820,52.00
-0.3177025,51.4629415,52.00
-0.3177246,51.4629205,52.00
-0.3177490,51.4629067,52.00
-0.3177699,51.4628806,52.00
-0.3177839,51.4628546,52.00
-0.3177583,51.4628466,52.00
-0.3177188,51.4628618,52.00
-0.3176921,51.4628893,52.00
-0.3176746,51.4629205,52.00
-0.3176688,51.4629588,52.00
-0.3176700,51.4629900,52.00
-0.3176328,51.4629444,52.00
-0.3176409,51.4629212,52.00
-0.3176677,51.4628792,52.00
-0.3176781,51.4628524,52.00
-0.3176723,51.4628256,52.00
-0.3176328,51.4628256,52.00
-0.3176258,51.4628553,52.00
-0.3176223,51.4628835,52.00
